Alias,CDM_page_id,CDM_field,Value
cookbooks,7175,fula,"Delmonica Pudding (very nice).
Take 1 quart sweet milk, & mix gradually into it, a Tea cup of Sifted flour - Then stir it over the fire until it thickens (be sure not to let it lump) - take off & while hot stir in a piece of butter the size of an egg, & nearly a cup of white sugar - season - when cold, stir well in the beaten yolk of 5 eggs - then pour it in a pudding dish & lay on top the well whipped whites into which you must whip nearly a cup of fine white sugar, & the seasoning - bake a pretty light brown, & eat cold with preserves if you choose - but no sauce - It is nicest to season the pudding with venilla, & the top with lemon - or you can season bottom with whiksy & nutmeg & top with lemon -
Bread pudding
1 level pint bread crumbs well coated in rather more than a pint of new milk - ps of butter the size of an egg melted & mixed in - a cup of sugar & yolks 4 well beaten eggs - bake it a light brown - when cold spread over the top jelly, or preserves, & lay over that the whipped whites - sweeten with nearly a cup of sugar - (season this like the other) return to oven & bake a light brown"
cookbooks,7176,fula,"the within pudding can be made the day before needed - you can add to each (Mollie does) 1/2 tea spoon baking powder - If you desire it, I can send you some more nice pudding recipes - The Southern people excel in -
Cake making - 
Mollie makes delicious deserts, & she learned all down here - great improvement in all since emancipation -"
cookbooks,7181,fula,"Whips
Grate the peel of a lemon in a pt cream, sweeten with loaf sugar, & whip it well. Beat the whites of 3 eggs, & mix with it. Put apple jelly seasoned with lemon, in the bottom of your glasses, & as the froth rises, put in on top of the jelly.
Floating island.
Beat the whites of 5 eggs till they stand alone, then add a little at a time 4 spoonfuls powdered loaf sugar, & currant jelly, or syrup. Put rich milk in a glass bowl, & put the island on top You should allow 6 eggs to 6 persons,
Trifle
Put slices of sponge cake in a glass bowl, & on this slices of preserved citron or apples, Pour over it a boiled custard, & on the top a whip made by the above receipt.
Skim curds
Put to boil a gal of sweet milk, When it fairly boils, put in a qt of butter milk, In a few minutes the curd will rise, which skim off, & set in a cool place, season as you help, with cream & sugar."
cookbooks,7182,fula,"Lemon Cream, No 2
Beat 5 eggs till they are very light, leaving out 2 whites, mix them with a pt water, not quite 1/2 lb sugar, the peels of 4 large lemons, & juice of 2. all must be beat together well, & stir over a slow fire till it begins to thicken, Take care not to let it boil.
Lemon Cream No 3.
Pare the rind very thin from 4 fresh lemons, squeeze the juice, & strain it. Put them both into a qt of water, sweeten it, & add the whites of six eggs beat to a froth. Set it on the fire, stir till it thickens, but do not let it boil. Then pour it into a bowl. When cold strain through a sieve, put it on the fire, & add the yolks, stir till quite thick, & serve in glasses, orange cream made in the same way but more juice.
Lemon Ice.
Whip the whites of 6 eggs to a strong froth, & mix well with a qt rich lemonade, & freeze it.
Lemon Cream No 4.
The yolks of 14 eggs & white of 7. Beat them up with 4 wine-glasses of sugar, & one of"
cookbooks,7183,fula,"wine. A large cup of cream, the juice & grated rind of 3 lemons. Stir it over the fire until it thickens rather more than custard. Serve in glasses & eat cold.

Charlotte Russe. No 4.
Boil your vanilla bean in a pt of water. Pour it on 1 oz isinglass; let it remain until it all dissolves, & reduce it to one half. Then strain it. Make a custard of 4 eggs, & one pt of milk, then add 3/4 lb sugar. Whilst the isinglass and custard are hot, mix it in a bowl on ice. Stir it all the time, until it is nearly stiff, then add a qt of rich cream, well whipped up. Stir all the time to prevent lumping. Put the cake round the sides of the mould; then pour in the custard.
Almond cream
The whites of 12 eggs beaten to a stiff froth. Three quarters of a lb almonds blanched & pounded, one qt of cream, 3/4 lb powdered"
cookbooks,7184,fula,"powdered sugar; Put the cream & sugar together & let them come to a boil, then stir in the almonds & eggs, & let all come to a good boil, When cold, season with wine, & rose water or any other seasoning you may like.
Ice Cream (Miss Crowell.)
Put 3 pts of milk over the fire with 1/3 of a paper of gelatine, 1 lb of sugar, heat the milk until the gelatine is completely dissolved. In the mean time, beat 2 eggs & stir into 3 pts of cold milk; then pour this into the hot milk & stir for a few minutes, Then strain & set away to cool. When cool flavor & freeze The milk must be unskimmed milk.
Chocolate cream - 
Make a custard of 2 qts of milk 6 eggs, & 1 lb sugar - then melt 1/2 cake of Baker's chocolate in a bowl over the tea kettle. Stir it in the custard while both are"
cookbooks,7185,fula,"warm - When cold, add rich sweet cream enough to make 1 gallon - flavor with extract of vanilla & freeze - 
Orange ice,
3 quarts water, 4 lbs sugar, 1 qt orange juice, & juice of 2 lemons; requires a doz & half of juicy oranges - Lemon, strawberry or raspberry, made in same way. using the juice of the fruits, or extracts.
Pine Apple ice.
Water & sugar as above: 1 1/2 pts pine apple, 1 gill orange, & 1/2 gill lemon juices: requires 2 large pines, six oranges, 3 lemons - Select Bird's eye pines, take out the core which is bitter mash & strain the pulp, using immediately as it quickly darkens -"
cookbooks,7186,fula,"Cocoa Nut Drops
one pound cocoa nut, half pound powdered sugar, the white of one egg, work all together; roll into little balls in the hand, & bake on buttered tins -
Claret Lemon Ice.
For one gallon of lemonade take 15 lemons, then to every 3 pints of the lemonade add one pint of Claret, & as much sugar as it will dissolve -"
cookbooks,7189,fula,"Flax seed Poultice
2 tablespoonfuls of flax seed meal & 1 of corn do; wet with cold water, & pour on boiling water until about as thin as molasses. Then boil it until cooked, & if necessary add hot water while cooking to keep it the proper consistency.
Oat Meal gruel -
2 tablespoonfuls of sifted oat meal to a pt of milk, & half a pt of water. Mix the meal into a paste with a little cold water; then stir it into the milk & water which must be boiling, & continue to boil the whole for half an hour, stirring all the time."
cookbooks,7190,fula,"Miscellaneous Receipts For a gathered breast.
Stew the blossoms of Saffron, & leaves on mint, (green mint, if you can get it, is best,) in new milk, & thicken with flour. Before applying the poultice, always bathe very gently the inflamed part with Camphor linament, made of Spts Camphor, & sweet oil, mixed in equal quantities, & pour a few drops on the poultice, which should also be greased on the surface with hog's foot, or lily oil, or if nothing better can be gotten, a little hog's lard, is very good. apply as warm as can be borne. This remedy is one of the very best to prevent a gathering, or to cure after it has gathered.
Furniture Varnish. (Mrs Gates)
1/4 lb blk soap, 1 pt ley strong enough to bear an egg, a piece of mutton suet, & beeswax the size of an egg, & a wineglass sweet oil, boiled to 1/2 pt. First wash off with warm water, & soap, & then polish with a piece placed between flannel"
cookbooks,7191,fula,"Cure for Piles, (Mrs Gates.)
1 oz lump magnesia, 1 oz cream tartar, 1 oz cream of sulphur, 1 pt molasses. If the piles are very bad, inject cold tempered water from the blacksmiths.
For the bite of a wasp or snake.
A lump of wet Saleratis applied to the sting will stop the pain in one moment, & prevent it from swelling. It is a sure remedy for Rattlesnakes bite if applied immediately.
Bed bug poison. Mrs Lyons.
Spts Turpentine, Spts wine, Sublimate mercury, & gum Camphor, 6 1/4 cts worth of each.
To take Ink out of linen.
Saturate the spot with melted tallow, & then was in soap-suds.
Soft Soap.
50 cts worth Soap Potash, Mix 1 gal soft water, Next morning pour on 5 lbs clean grease boiling hot. Stir it well. Add 1 gal water every morning for 6 successive mornings.
Soda Soap. (Mrs Gates.
To 1 lb sal soda put 5 lbs black soap cut up, & 7 gals"
cookbooks,7192,fula,"rain water. Let all come to a boil, stirring frequently with a sassafras stick. Then pour it into your barrel,  & stir occasionally for a day or two
Cure for Scrofula,
Try it; it can do no injury in any case, & is said to be a fine remedy. Put 1 oz aquafortis in a bowl, & drop in 2 copper cents, Do not use the new coin.) It will effervesce, leave the cents in. When the effervescence ceases, add 2 oz strong vinegar. The fluid will be of a dark green color. It should & will smart. If too severe, put in a little rain water. apply it to the sore morning & evening with a soft brush or rag. Before applying it, wash the sore with water.
Salve for frost bites.
24 oz mutton tallow, 24 oz hog's lard, 4 oz Venice turpentine, 2 oz oil of bergamot, 2 oz bole [aimeman?], rubbed into a paste with olive oil. Heat together the tallow, lard, & iron rust, in an iron vessel, stirring with an iron spoon constantly till the mass assumes a perfectly black colour, then add gradually the other ingredients stirring till well"
cookbooks,7193,fula,"mixed. It is applied upon linen daily, & ifs effect upon the most painful, open frost sores, is most extraordinary. In all probability for other similar sores, it would also be an excellent application.
To Clean Marble.
2 oz common Soda, 1 of pumice stone, one of finely powdered chalk. Sift them through a fine sieve, & mix with water. Then rub the mixture well over the marble, & the stains will be removed. Wash the marble over with soap & water, & it will be as clean, as it was previous to its being stained. Sometimes marble is stained yellow with iron rust. This can be removed with lemon juice. 
Worth Knowing
The black sulphate of silver which formed on plates & silver ware, door plates, & know, may at once be removed by wiped the surface with a rag wet with spts hartshorn, & without the trouble of rubbing & scouring with polishing powder. 
To remove grease.
Take of soft soap, & fullers earth, 1/2 lb each, beat them well together in a mortar, & form into cakes."
cookbooks,7131,fula,"Coconut Cake (Mrs Geo Witster Tennessee
Whites of 11 eggs well frothed 4 large cup butter 1 of white sugar - 1 of flour & 1 coconut grated Bake in loaf - 
Meringue - Mrs Dick Gown Tenness
Slice spone, or any kind plain loaf cake & cover the bottom & sides of a pan, or baking dish - first spreading a table spoon of butter over the slices - cover the cake with any kind of preserves - then put on another layer of cake on which must also be butter & preserves - continue this until you put on the last layer of cake which must be thin, without preserves or butter - pour over all a tea cup wine & 1 of cream - beat the whites of 8 eggs to a stiff froth & then beat in a tea cup powdered sugar, flavor with lemon pour over & bake quickly - 
Berwick (sponge cake)
Beat 6 eggs, yolks & whites together, 2 minutes add 3 cups of sugar, & beat 5 minutes; 2 cups of flour with 2 teaspoonfuls of cream of tartar, & beat 2 minutes; 1 cup of cold water with 1 teaspoonful of saleratus dissolved in it, & beat one minute; the grated rind, & half the juice of 1 lemon, a little salt & 2 more cups of flour, & beat 1 minute Observe the time exactly, & bake in rather deep cup cake pans"
cookbooks,14166,fula,"Chocolate Cake
The whites of 7 eggs 2 cups of sugar white 1 tea cup of Butter 1 cup of milk 3 1/2 cup Flour 2 teaspoon of Baking powder Grate half a cake of chocolate 1 pound of brown sugar Butter size of an egg 1/2 cup milk boil till thick when nearly cold beat Vanilla in to your taste spread on top the cake 
Liz I am sorry I cant find the Jumble receipt, Bridget lost it failed to put it To its place when I told her. I get out of patience with girl, make me so much trouble, I will write in [illegible] and very busy"
cookbooks,14317,fula,"To Pickle Peaches (Sweet?)
Pare skin and cover them with vinegar in a [stew?] jar, and let them remain four days then drain, then boil in a little water until they shrink; take them out and drain again; take half the vinegar, which they were soaked in and to every quart add three pound of sugar. Tie mace, allspice and cloves in a bag and boil to form a syrup. pour boiling hot over the peaches.  To 12 lbs. of fruit allow six lbs. of sugar.
Pickle Pears
To 9 lbs. of the fruit
4 lbs. of sugar
1 pt. vinegar.  Add a little cinnamon and boil until a [strand?] will go through them.  Let the pears remain whole and unskinned.  Pass a knife through center."
byington,4050,transc,"party of us took lunch at the Forestry building we then seperated to take in the sights. Mary Briggs and I were together all afternoon. We met the others later and all went down ""Pay Streak"" the grounds are beautiful at night in fact lovely at any time. We went home at ten oclock.
Wednesday August 18th 1909
Mary Lizzie and I went to the fair together. Emily had to work and the other girls had gone home. Lizzie was not well and after a day or sight seeing and supper in the grounds we went home before eight oclock. Mrs Art Robinson came to spend the evening with us. I talked with [Marnie?][Calbretson?] and are going over there tomorrow.
Thursday August 19th 1909
The girls went sight seeing about the city and I over to [Calbertsons?] I found Lizzie Duncan there. I spent the day very pleasantly. [Marnie?] has a nice house and a very pleasant wife. About four oclock Emily telephoned they were going to her Mother Metcalfs for supper and I went over right away to go with them. We had a nice time. Mary Briggs had gone out to find some Ohio people. She packed up her things tonight to go away tomorrow."
byington,4051,transc,"Friday August 20th 1909
I went to the depot with Mary Briggs she got on the train at 8.30. I then went up to [Marnie?] Culbertsons for some papers I left there yesterday. Then back near the fair grounds to call on [Mamie?] Appleton from [Delaware?]. at noon I get back to ""The Oxford"" Lizzie soon came in and we went a long ways to her sisters (Mrs Robinson) She got us some dinner and we all went down town again. Got home for supper and to spend the evening. 
Saturday August 21st 1909
Lizzie and I went to the depot expecting to go home but left our baggage there and went back to the fair grounds and to see Emily again. We did not leave Seattle till 4.30 and got home at 7.30. Scott was there and we soon had some supper ready and after a little while went to bed. It has been a great pleasure and privilege to see the fair. I found letters here from home. [Lee? Eserd?] has been sick. Fannie is has home. 
Sunday August 22nd 1909
It was late when we got up. Lizzie was busy with her work and I did some writing It rained a little so we did not go out [any?]. Effie and Dorothy were with us most of the day. I was reading an interesting book part of the time."
byington,4052,transc,"Monday August 23rd 1909
The Ringling show was in Centralia today. We went up to see the parade which was fine and after an early dinner went to the grounds which was quite a distance from the house. Scott Lizzie and I went together. It was very nice. In the evening I went with Lizzie & Effie to a small theater up in town. A pretty full day. 
Tuesday August 24th 1909
Emily brought the children down home last night and went back early this morning. we were busy about the house all forenoon and in the afternoon Lizzie and I took a ride. I find I cannot get a berth before Friday and then an upper one.
Wednesday August 25th 1909
We were about the house most of the day. I worked some on my pillow case. In the evening Effie Dorothy Lizzie and I went up town to a picture show. 
Thursday August 26th 1909
Scott Lizzie and I went through the mills in the forenoon and Lizzie and I drove around town some. I did my packing and just before supper took my telescope to the station and checked it. I went to bed early as I had to get up at three oclock. I have had a splendid time buy am glad to start home a letter from Fannie says Le [Grand?] is better."
byington,4053,transc,"Friday August 27th 1909
Scott got up and made coffee so I had breakfast before the cob came for me. I was a little late leaving Centralia but got to Seattle in time for my train I left there at 9.00 oclock. a lady from N. S state shared the section with me. Our days travel was through most beautiful mountains scenery. 
Saturday August 28th 1909
I did not have a very good night in my upper berth. When we awoke in the morning we were in Montana and there was a white frost. There is a very pleasant company in the car. When night came on we were east of Billings Montana. 
Sunday August 29th 1909
I slept better and we had rather a pleasant days ride through the fine country of North Dakota and Minnesota It was very refreshing after some of the country we had seen we reached St Paul after eleven oclock behind time.
Monday August 30th 1909
I just rested what I could in the depot. And left there after nine oclock for home. It was a slow train and I got very tired I took the [illegible] at Cedar Rapids reaching home at 8.12. Will had gone in town to meet me but soon came home and after a little visit we went to bed. I was very tired and sleepy. Traveling and [waiting?] 4 days & 3 nights"
byington,4054,transc,"Tuesday August 31st 1909
I went as far as home with Will this morning when he went after my telescope I found the folks all well. Le[Grand?] is better and John & Hattie started east Sunday night Mrs Hoffman did ironing churning and baked bread They went home after dinner I put in the afternoon unpacking my things and visiting with Will was over to Mrs Jones a little while. Weather fine. 
Wednesday September 1st 1909
I got the work done up and Will took me, down to the M E church to attend the funeral of A. E [Saisher?] who died last Sunday morning. We went over home to dinner. Mary Briggs was there and I had a little more visit with her. We called on Effie to see her new house we came home to do evening work. 
Thursday September 2nd 1909
It was a rainy day and we made a fire in the furnace to try it and it works fine. I did some sewing and writing. Mother and Aunt Lif went down to Uncle [Jim?] and it rained so they had to stay all night the folks hear from John & Hattie they are having a fine trip. I feel very tired and lame from my trip."
byington,4055,transc,"Friday September 3rd 1909
I was sick most of the night and Dr Smith came out at 6.30 to see me. I slept all day long. Will only rousing me long enough to give medicine. I got up to eat a little supper. 
Saturday September 4th 1909
I felt some better but was in bed most of the day. Will went to town in the afternoon. I got up after he came home and did a little necessary work and laid on the lounge till 8 oclock. 
My gloves came that [M? Nerper?] sent from Seattle.
Sunday September 5th 1909
I got up to get our breakfast and did quite a few things in the forenoon. I wrote a  letter to Lizzie in the afternoon and Rob & Cora stopped while they were riding and I sent it to town I [recd?] and rested in the afternoon and we went to bed early. 
Monday September 6th 1909
I felt much better today. The men came to put in the lights and I watched them and sewed some. 
Tuesday September 7th 1909
I washed the things I brought home dirty this morning I went down home awhile in the buggy in afternoon I told Mother of my trip. I stopped at Woolfe on the way home. Will had Mr Vaughn help him make the fence along the north side of the potato patch."
byington,4056,transc,"Wednesday September 8th 1909
It is 29 years today since John & Hattie were married They are really now going their wedding trip over again. I did my ironing in the morning and we intended going to the fair but it began to rain. Will went down town awhile. I did a lot of mending and put things away. 
Thursday September 9th 1909
I was busy all forenoon with the wash. Will went to town and got mouldings for the front rooms and Ed [Karr?] put them up for me. I had some other things done. Will went to the fair.
Friday September 10th 1909
Will and I took the desk from the sitting room to the little room up stairs and put down the sitting room carpet before noon. In the afternoon put down the dining room carpet. They look very nice
Saturday September 11 1909
Will went to town this morning to see about accepting money paid in by the state on condemned property on which we held a mortgage. I put down the stair carpet we went down in the buggy in afternoon. I was at home Aunt Ellen is writing Mother. We came home together in time to do evening work. I feel awful tired from yesterday a letter from Lizzie Lindley."
byington,4057,transc,"Sunday September 12th 1909
I went to church in the evening. It rained a little as I was coming home Fannie got back from Chicago where she had been for several days to see her Mother. I read and wrote in afternoon. To Lydia Mason & Mattie Fletcher I was over to Mrs Jones most of the evening.
Monday September 13th 1909
I worked all forenoon ripping two seams of the parlor carpet. I went to town early in afternoon, I selected some furniture. Was up in the office for a visit with Ott and went up to Nell [Swishers?] and did not get home till 5.30 Will did not feel well I brought medicine for him.
Tuesday September 14th 1909
I worked all day at sewing the parlor carpet and till ten oclock at night. Will ripped the rest of it for me. 
Wednesday September 15th 1909
I finished sewing the carpet before noon and we put it down before four oclock. I had supper early and went down town at 6.12. Went up to Nell [Swishers?] to call on a couple of Aunts visiting here. I then came down to the church and home with Mrs Robinson it was 15 years tonight since Brother Rob died."
byington,4058,transc,"Thursday September 1th 1909
I worked in the forenoon and Will and I went to town in the afternoon. I stopped at [Fannies?] and up home a little while. Then went to town and got some things needed for the house. Did evening work. 
Friday September 17th 1909
I ironed early and then went to work at my lace curtains I washed and ironed 6 pair and did some baking beside. In the evening I cleaned silver.
Saturday September 18th 1909
I washed some bed quilts in the forenoon It was a fine day. I did some other things afternoon before going down town at 4.12. Called at Eugene [Harts?] and then went over home to stay till after supper. I came home at 8.30. Will was down town in afternoon.
Sunday September 19th 1909
It was a fine morning I went to church. I got our dinner and wrote and read a little. Ott & Fannie came out bringing Mother and Mattie with them. They stayed till toward evening. I went over to Mrs Jones after supper awhile to talk about the threshing tomorrow. Talked with Will awhile and went to bed."
byington,4059,transc,"Monday September 20th 1909
I was busy with the work most of the day. I found quite a washing to do. Mrs Jones had just the man with the machine for dinner so they did their grain first. They were delayed by a shower so ours was not finished till six oclock but none of the men were here for supper. We had 270 bushel of oats and barley mixed. Will had a hard afternoon but after a bath and supper he felt much better.
Tuesday September 21st 1909
Will went to help the neighbors thresh. I was busy about the work all forenoon I am getting things fixed about the house. What time I have, I went in town after dinner and thought to go to Mr Lindsleys funeral but came home earlier Talked with Will most of the evening when supper was over. 
Wednesday September 22nd 1909
I did some baking today and put more things in order in the house. Will helped me put up the poles for the curtains My furniture, a table for sitting room dining room chairs & kitchen carpet came. 
Thursday September 23rd 1909
I got my work done up so I went to Cedar Rapids with the delegation to visit ""The Old Ladies Home"". I spent the afternoon with The [Parrins?] and Ella Rhodes. Went to Marin in an Automobile I came home by the C.R.L & P to use the last of my Seattle ticket got to [Centerville?] at 9.39 I had a splendid day."
byington,4060,transc,"Friday September 24th 1909
I called up this morning an Hattie answered the phone they got home last night. Soon as we had dinner Will hitched and we drove down. I stopped at Fannies awhile before going up home. Went on to town from there to get things needed and Will drove home with me. It was late when my work was done. 
Saturday September 25th 1909
Will took me down town this morning. We have got the last of the light fixtures and I paid the bill today. He took me over to Mrs Brainards to a meeting of The Elder Daughters In the election I was chosen Recording secretary I dont know how I will get through with the duties. I called at Mrs Smiths and Mrs A.E [Smithers?]. besides stopping at John [Striers?] to see the new boy [boley?]. I got home at 5.39. Got supper and did some extra work for tomorrow. a beautiful day.
Sunday September 26th 1909
I got my work done in the morning in time to write a short letter to Laura mason before going to church. This is the last Sunday Dr Clark will preach. his sermon was fine. I got our dinners and wrote some in afternoon John & Hattie came out to supper and to spend the evening. It was a beautiful day. We had such a good visit with the folks they told all about their trip"
byington,4061,transc,"Monday September 27th 1909
I was at home at work all day. Will went in to report for jury service and was excused. He got Mr [Chamber?] to dig potatoes I worked in the cellar part of the afternoon after Will built a bin for potatoes
Tuesday September 28th 1909
I was busy with the house-work all morning. At 10.39 Mary Woolf and [Lishie?] came out. when we got dinner over I did not wash the dishes till they went at 4.12. I fixed juice for jelly after supper and put up tomatoes. Will busy with the potatoes in afternoon was down town in morning. I had a long letter from Lydia. 
Wednesday September 29th 1909
I washed in the forenoon and the man finished putting in the potatoes before noon. I cleaned the cellar floor and then went down home in the buggy awhile I was busy with the house-work while and went over to see Mrs Jones. 
Thursday September 30th 1909
I did the ironing in the forenoon and got the dinner Will in town part of the forenoon and to a sale in afternoon. I went and got Mrs Smith and we took a ride up to Mrs [Suniers?]. I enjoyed it very much. the day was perfect. I got home in time to do the evening work. I had a long letter from Laura Mason today."
